Date,Open,High,Low,Close,Adj Close,Volume
2022-08-18,702.0,705.0,691.0,702.0,617.6634521484375,4104406
2022-08-19,701.0,701.0,693.0,693.0,609.74462890625,4021243
2022-08-22,682.0,683.0,676.0,677.0,595.6668701171875,3039000
2022-08-23,668.0,679.0,665.0,676.0,594.7869873046875,3485299
2022-08-24,680.0,683.0,667.0,667.0,586.8682250976562,3956917
2022-08-25,670.0,677.0,666.0,670.0,589.5078125,2981905
2022-08-26,679.0,687.0,675.0,678.0,596.5466918945312,2900649
2022-08-29,657.0,659.0,651.0,653.0,574.5501098632812,4654505
2022-08-30,653.0,660.0,648.0,657.0,578.0696411132812,4506040
2022-08-31,655.0,671.0,652.0,667.0,586.8682250976562,4221631
2022-09-01,655.0,661.0,643.0,648.0,570.1508178710938,7093281
2022-09-02,640.0,645.0,620.0,620.0,545.5147094726562,9474700
2022-09-05,616.0,637.0,616.0,631.0,555.1931762695312,5842744
2022-09-06,633.0,636.0,627.0,629.0,553.4334716796875,3988122
2022-09-07,620.0,625.0,609.0,619.0,544.6348876953125,5069764
2022-09-08,622.0,626.0,617.0,623.0,548.154296875,3336148
2022-09-12,634.0,642.0,626.0,627.0,551.6737670898438,5000340
2022-09-13,631.0,636.0,625.0,626.0,550.7938842773438,4327108
2022-09-14,603.0,617.0,602.0,615.0,541.1154174804688,6129131
2022-09-15,611.0,620.0,611.0,616.0,541.9953002929688,3490200
2022-09-16,607.0,611.0,600.0,600.0,527.9174194335938,7961748
2022-09-19,606.0,611.0,601.0,604.0,531.4368896484375,4262713
2022-09-20,607.0,611.0,603.0,605.0,532.3167724609375,3209089
2022-09-21,610.0,610.0,601.0,605.0,532.3167724609375,4305556
2022-09-22,598.0,600.0,587.0,591.0,519.9987182617188,5520105
2022-09-23,591.0,594.0,580.0,580.0,510.3202209472656,4137245
2022-09-26,573.0,576.0,564.0,569.0,500.6417541503906,5078590
2022-09-27,571.0,574.0,563.0,568.0,499.7618713378906,4395712
2022-09-28,572.0,576.0,545.0,545.0,479.5249938964844,7153489
2022-09-29,558.0,563.0,540.0,543.0,477.7652893066406,7957861
2022-09-30,536.0,554.0,533.0,551.0,484.80419921875,5765497
2022-10-03,543.0,556.0,541.0,548.0,482.16461181640625,3207800
2022-10-04,564.0,573.0,564.0,573.0,504.1611633300781,4417460
2022-10-05,596.0,608.0,592.0,599.0,527.03759765625,9523847
2022-10-06,603.0,604.0,585.0,587.0,516.479248046875,6813772
2022-10-07,581.0,582.0,564.0,566.0,498.00213623046875,5990213
2022-10-11,546.0,565.0,541.0,553.0,486.5639343261719,8035781
2022-10-12,557.0,557.0,541.0,549.0,483.0444641113281,6779101
2022-10-13,550.0,554.0,538.0,544.0,478.6451416015625,6734775
2022-10-14,562.0,588.0,559.0,585.0,514.7195434570312,9168365
2022-10-17,568.0,580.0,565.0,578.0,508.5604553222656,6538416
2022-10-18,593.0,595.0,576.0,588.0,517.359130859375,6492274
2022-10-19,585.0,591.0,577.0,577.0,507.6806335449219,5843559
2022-10-20,566.0,570.0,558.0,570.0,501.5215759277344,8517491
